platform,project_id,title,creator,country,year,category,parent_category,raised_usd,backers,currency,state,compliance_flags,url,source_archive,amount_basis,backers_basis
Makuake,makuake-il-modo-air,il modo Air wallet,STATUSY,JP,2025,Wallet,Fashion,1417409,10000,JPY,successful,GPSR/REACH/packaging,https://www.makuake.co.jp/5102/,official-2024-2025.md,"JPY 226212500 converted at 2026-09-02 ECB cross-rate (EUR/USD 1.1578; EUR/JPY 184.78)",Makuake badge: at least 10000 supporters
Makuake,makuake-cofo-chair-pro-2,COFO Chair Pro 2,COFO,JP,2025,Furniture,Design,1308322,3949,JPY,successful,GPSR/REACH/packaging,https://www.makuake.co.jp/5102/,official-2024-2025.md,"JPY 208802697 converted at 2026-09-02 ECB cross-rate (EUR/USD 1.1578; EUR/JPY 184.78)",maker page exact supporter count
Makuake,makuake-iflytek-ainote-air-2,iFLYTEK AINOTE Air 2,iFLYTEK,JP,2025,Electronics,Technology,811786,1000,JPY,successful,electrical/electronic; connected/CRA-triage,https://www.makuake.co.jp/5102/,official-2024-2025.md,"JPY 129557650 converted at 2026-09-02 ECB cross-rate (EUR/USD 1.1578; EUR/JPY 184.78)",Makuake badge: at least 1000 supporters
